user_id,register_date,name,gender,province,city
10088,11/9/2019,Mustika Dabukke,male,Jawa Barat,Bandung
10089,11/13/2019,Luluh Prayoga,male,Jawa Barat,Bandung
10101,1/26/2019,Mulyono Napitupulu,male,Jawa Barat,Bandung
10129,1/6/2020,Gandewa Napitupulu,male,Jawa Barat,Bandung
10132,4/10/2019,Nrima Wahyudin,male,Jawa Barat,Bandung
10183,8/11/2019,Ozy Setiawan,male,Jawa Barat,Bandung
10191,8/23/2019,Gandi Maryadi S.Ked,male,Jawa Barat,Bandung
10213,5/14/2019,Nyoman Tampubolon S.Sos,male,Jawa Barat,Bandung
10226,8/6/2019,Eka Wasita,male,Jawa Barat,Bandung
10231,5/17/2019,Narji Putra,male,Jawa Barat,Bandung
10264,3/22/2019,Kalim Purwanto Samosir S.Pt,male,Jawa Barat,Bandung
10286,10/5/2019,Cakrabirawa Kusumo,male,Jawa Barat,Bandung
10287,9/22/2020,Tasnim Siregar S.Ked,male,Jawa Barat,Bandung
10313,2/17/2020,Harimurti Kemba Mandala,male,Jawa Barat,Bandung
10315,8/2/2019,Cengkir Okto Marpaung S.Pt,male,Jawa Barat,Bandung
10324,11/6/2019,Luis Prayoga S.I.Kom,male,Jawa Barat,Bandung
10330,10/5/2021,Galar Situmorang,male,Jawa Barat,Bandung
10331,5/2/2019,Cakrawala Irawan,male,Jawa Barat,Bandung
10361,1/31/2019,Erik Marbun,male,Jawa Barat,Bandung
10380,5/5/2019,Viktor Iswahyudi M.M.,male,Jawa Barat,Bandung
10390,9/11/2019,Hendra Pangestu,male,Jawa Barat,Bandung
10397,2/27/2019,Warsita Marsito Natsir,male,Jawa Barat,Bandung
10408,1/22/2020,Arsipatra Mustofa M.M.,male,Jawa Barat,Bandung
10471,10/25/2019,Opung Simbolon,male,Jawa Barat,Bandung
10478,10/22/2019,Danang Wasita,male,Jawa Barat,Bandung
10480,3/27/2019,Balidin Maryanto Tarihoran S.I.Kom,male,Jawa Barat,Bandung
10502,10/4/2019,Tasnim Mahendra,male,Jawa Barat,Bandung
10504,3/25/2019,Gadang Kusumo,male,Jawa Barat,Bandung
10527,5/28/2019,Karna Hutagalung,male,Jawa Barat,Bandung
10544,11/13/2019,Satya Rajata,male,Jawa Barat,Bandung
10585,11/6/2019,Elon Marpaung,male,Jawa Barat,Bandung
10587,7/7/2019,Mujur Panji Saptono S.H.,male,Jawa Barat,Bandung
10597,7/9/2019,Raihan Warsa Nainggolan,male,Jawa Barat,Bandung
10636,9/26/2019,Edi Marbun,male,Jawa Barat,Bandung
10665,5/26/2019,Prabowo Adiarja Mandala S.Sos,male,Jawa Barat,Bandung
10675,11/30/2019,Bagas Siregar,male,Jawa Barat,Bandung
10692,3/1/2019,Margana Pratama,male,Jawa Barat,Bandung
10693,5/23/2019,Tirtayasa Halim,male,Jawa Barat,Bandung
10697,5/2/2019,Capa Jailani S.Gz,male,Jawa Barat,Bandung
10706,1/1/2019,Vero Lukita Haryanto M.Ak,male,Jawa Barat,Bandung
10715,6/21/2019,Tri Sihotang,male,Jawa Barat,Bandung
10737,1/1/2019,Gandewa Saptono S.Gz,male,Jawa Barat,Bandung
10774,3/3/2019,Prabawa Saragih S.E.,male,Jawa Barat,Bandung
10781,6/25/2019,Manah Tampubolon S.I.Kom,male,Jawa Barat,Bandung
10801,3/11/2019,Luthfi Megantara S.E.I,male,Jawa Barat,Bandung
10802,8/9/2019,Okto Budiyanto,male,Jawa Barat,Bandung
10821,5/30/2019,Bakiman Pranata Kusumo,male,Jawa Barat,Bandung
10847,8/10/2019,Darijan Uwais,male,Jawa Barat,Bandung
10852,1/16/2019,Queen Widiastuti,male,Jawa Barat,Bandung
10889,9/24/2019,Wage Luwes Pranowo M.Pd,male,Jawa Barat,Bandung
